DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,0.0,0.55,0.7,610.949867646,258.6194461077746,-170.02458440142
0,0.0,0.55,0.8,698.244844316,277.9125905995646,-145.76268919296
0,0.0,0.55,0.9,785.5285295300001,297.0539958751701,-119.15726262216
0,0.0,0.55,1.0,872.8027890339999,315.8688497867187,-90.8030494959
0,761.9999756160008,0.0,0.0,0.0,112.5420545154677,0.0
0,761.9999756160008,0.0,0.5,436.402851082,217.6381177617709,441.42654467562
0,761.9999756160008,0.0,0.6,523.697008644,235.1108871018779,496.04342233236
0,761.9999756160008,0.0,0.7,610.968125996,253.8116933245033,553.60125843498
0,761.9999756160008,0.0,0.8,698.252995112,272.7980751473283,612.79321042968
0,761.9999756160008,0.0,0.9,785.5381820240001,291.8720628117572,672.7854016506001
0,761.9999756160008,0.0,1.0,872.8289243979999,311.6292498174726,735.4187902198199
0,761.9999756160008,0.05,0.0,0.0,112.5682675890411,0.0
0,761.9999756160008,0.05,0.5,436.407905232,217.5914310753878,385.56594025866
0,761.9999756160008,0.05,0.6,523.694140274,235.0625012207203,436.81827772002
0,761.9999756160008,0.05,0.7,610.99225835,253.7487019472921,491.16294210564
0,761.9999756160008,0.05,0.8,698.254725086,272.7413944634854,547.3016269959
0,761.9999756160008,0.05,0.9,785.559400502,291.7967354301914,604.53499213884
0,761.9999756160008,0.05,1.0,872.830654372,311.5229406695092,664.35912960816
0,761.9999756160008,0.1,0.0,0.0,112.6678880289395,0.0
0,761.9999756160008,0.1,0.5,436.4118664920001,217.4506851628414,329.71969024764
0,761.9999756160008,0.1,0.6,523.71203383,234.9201131898758,377.61367053942
0,761.9999756160008,0.1,0.7,610.9931692160001,253.6081843406514,428.7517732629601
0,761.9999756160008,0.1,0.8,698.275669782,272.5924243920893,481.85789751288
0,761.9999756160008,0.1,0.9,785.552388102,291.6422546717772,536.15664292344
0,761.9999756160008,0.1,1.0,872.8324761040001,311.2178336862016,593.4690173500201
0,761.9999756160008,0.15,0.0,0.0,116.7023008723578,0.0
0,761.9999756160008,0.15,0.5,436.419789758,217.2070280240407,273.85769353782
0,761.9999756160008,0.15,0.6,523.6955517060001,234.688963284859,318.37834839972
0,761.9999756160008,0.15,0.7,610.992303856,253.4144120422752,366.33123646896
0,761.9999756160008,0.15,0.8,698.259460694,272.3388588705434,416.4128424603
0,761.9999756160008,0.15,0.9,785.545285436,291.3426017668511,467.85946927482
0,761.9999756160008,0.15,1.0,872.830745384,310.7558192585503,522.49358378406
0,761.9999756160008,0.2,0.0,0.0,117.5886527034383,0.0
0,761.9999756160008,0.2,0.5,436.404399778,216.8833178521274,217.97806853214001
0,761.9999756160008,0.2,0.6,523.661402064,234.3700788822462,259.09897108914
0,761.9999756160008,0.2,0.7,610.9541937,253.1164152908464,303.7884937269
0,761.9999756160008,0.2,0.8,698.233324584,271.9731876637939,350.9025942954
0,761.9999756160008,0.2,0.9,785.527527652,290.9214204118662,399.50918832762
0,761.9999756160008,0.2,1.0,872.797233572,310.3220735933049,451.24220933862
0,761.9999756160008,0.25,0.0,1.346495684,113.3153153903656,0.0
0,761.9999756160008,0.25,0.5,436.39351713,216.421788106686,161.9203901763
0,761.9999756160008,0.25,0.6,523.676746538,233.9578917507031,199.78885213014
0,761.9999756160008,0.25,0.7,610.95619671,252.7472320094349,241.28820924474
0,761.9999756160008,0.25,0.8,698.227724362,271.5414120726663,285.33801557142
0,761.9999756160008,0.25,0.9,785.529166614,290.4393599771387,331.03574506506
0,761.9999756160008,0.25,1.0,872.806522764,309.7397293216003,379.95041836626
0,761.9999756160008,0.3,0.0,4.64446172,113.7149311940488,0.0
0,761.9999756160008,0.3,0.5,436.3989353280001,215.877935836433,105.76936592376
0,761.9999756160008,0.3,0.6,523.675153082,233.4358978995736,140.35927177482
0,761.9999756160008,0.3,0.7,610.967898466,252.2178565792434,178.79779536276
0,761.9999756160008,0.3,0.8,698.245254616,270.9975312641749,219.67576283268
0,761.9999756160008,0.3,0.9,785.5392749139999,289.8480210141522,262.46018401596
0,761.9999756160008,0.3,1.0,872.811166614,309.0885395911277,308.57541009414
0,761.9999756160008,0.35,0.0,8.127020234,114.1125909588134,0.0
