DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,761.9999756160008,0.55,1.0,960.0881761724002,304.5788406357616,-56.440510406742
0,1523.999951232002,0.0,0.0,0.0,109.2828440828268,0.0
0,1523.999951232002,0.0,0.5,480.06046644160006,206.1499395523905,472.504189838142
0,1523.999951232002,0.0,0.6,576.0681119138,223.8819142248934,535.235640306906
0,1523.999951232002,0.0,0.7,672.0900817796002,242.3216306557199,600.329461239354
0,1523.999951232002,0.0,0.8,768.0951735446,261.2013033274064,666.5410144349881
0,1523.999951232002,0.0,0.9,864.1092295440002,281.207858394448,734.91279185016
0,1523.999951232002,0.0,1.0,960.1262413446001,302.1810466315885,803.3337736956839
0,1523.999951232002,0.05,0.0,0.0,109.3896458662796,0.0
0,1523.999951232002,0.05,0.5,480.0689309305999,206.1073502084732,414.76247277234
0,1523.999951232002,0.05,0.6,576.0626024054001,223.8453211858841,473.77370426416803
0,1523.999951232002,0.05,0.7,672.0672428404,242.279712194321,535.376750745144
0,1523.999951232002,0.05,0.8,768.0850054900001,261.1512472575524,598.4053899058621
0,1523.999951232002,0.05,0.9,864.0962074426001,281.1139137890774,663.817121563134
0,1523.999951232002,0.05,1.0,960.1236367602,302.0612314115032,729.705499120752
0,1523.999951232002,0.1,0.0,0.0,109.7263554396262,0.0
0,1523.999951232002,0.1,0.5,480.05305314120017,205.9958157558741,357.015265713414
0,1523.999951232002,0.1,0.6,576.0846896750002,223.751819157126,412.33110552341407
0,1523.999951232002,0.1,0.7,672.0782618572,242.1561275875896,470.45871723958805
0,1523.999951232002,0.1,0.8,768.0876100744,260.9935683450967,530.317022376372
0,1523.999951232002,0.1,0.9,864.1062245068,280.8472127246666,592.88757494505
0,1523.999951232002,0.1,1.0,960.127143184,301.7085525885876,656.352130324506
0,1523.999951232002,0.15,0.0,1.38628061,105.0523744784541,0.0
0,1523.999951232002,0.15,0.5,480.05741052720003,205.8200188048626,299.285756787402
0,1523.999951232002,0.15,0.6,576.0756245068,223.5711108220993,350.848829105082
0,1523.999951232002,0.15,0.7,672.0771097348,241.9481638315341,405.53780662533603
0,1523.999951232002,0.15,0.8,768.083553028,260.7320359766851,462.239037882006
0,1523.999951232002,0.15,0.9,864.1216509661999,280.4100691377121,521.991814781976
0,1523.999951232002,0.15,1.0,960.1270430708,301.1168992371405,583.0560981944161
0,1523.999951232002,0.2,0.0,3.451373849,105.3312183293114,0.0
0,1523.999951232002,0.2,0.5,480.04258556760004,205.519295014243,241.49169885132602
0,1523.999951232002,0.2,0.6,576.0779287516001,223.283450526989,289.410731962968
0,1523.999951232002,0.2,0.7,672.0618835017999,241.651509312982,340.567549682514
0,1523.999951232002,0.2,0.8,768.0869092820001,260.3713046921891,394.14037049910604
0,1523.999951232002,0.2,0.9,864.1255578428002,279.9126181714597,450.802775467506
0,1523.999951232002,0.2,1.0,960.1115164982,300.2833024447065,509.6416153035901
0,1523.999951232002,0.25,0.0,6.007923607400001,105.7002018430554,0.0
0,1523.999951232002,0.25,0.5,480.0478948496,205.1543091930509,183.62747958601202
0,1523.999951232002,0.25,0.6,576.0772771952,222.8987761284587,227.88077774338802
0,1523.999951232002,0.25,0.7,672.0674430668,241.2976024101424,275.55529086716405
0,1523.999951232002,0.25,0.8,768.0725348318001,259.9727382535607,325.796850401484
0,1523.999951232002,0.25,0.9,864.0921003396,279.3335862067495,379.484540272068
0,1523.999951232002,0.25,1.0,960.1140201488001,299.3189822754242,435.886562010438
0,1523.999951232002,0.3,0.0,9.023821448400001,106.1813485863195,0.0
0,1523.999951232002,0.3,0.5,480.05024833040005,204.7047014135898,125.63640820684802
0,1523.999951232002,0.3,0.6,576.0465252102001,222.4239120081648,166.242809621658
0,1523.999951232002,0.3,0.7,672.0684950760001,240.8520924409871,210.46042282372804
0,1523.999951232002,0.3,0.8,768.0701805304,259.4926198225529,257.44306470174604
0,1523.999951232002,0.3,0.9,864.0745706824001,278.6911628616529,308.03336601853204
0,1523.999951232002,0.3,1.0,960.1004974814001,298.3882993322145,361.63206124122
0,1523.999951232002,0.35,0.0,12.6565872862,106.7824172171823,0.0
0,1523.999951232002,0.35,0.5,480.0280609476,204.1751402509299,67.46012050885801
0,1523.999951232002,0.35,0.6,576.03941307,221.8934086158033,104.47872334237802
0,1523.999951232002,0.35,0.7,672.0760076690001,240.3578962374127,145.304333038788
0,1523.999951232002,0.35,0.8,768.0519492602001,258.9198414747347,188.94749332397402
0,1523.999951232002,0.35,0.9,864.0874926706,277.9954277483444,236.493236261436
0,1523.999951232002,0.35,1.0,960.0812642586001,297.4521052341468,286.96169104633805
0,1523.999951232002,0.4,0.0,16.624088173,107.4184587572349,0.0
0,1523.999951232002,0.4,0.5,480.0465425007999,203.5342163329402,9.055890449298001
0,1523.999951232002,0.4,0.6,576.0447215314001,221.2657624640298,42.50363441293201
0,1523.999951232002,0.4,0.7,672.0610825962001,239.6708989712419,79.946390592222
0,1523.999951232002,0.4,0.8,768.0683776722,258.2860698942212,120.339856605276
0,1523.999951232002,0.4,0.9,864.0630510996001,277.2920687148689,164.590620166896
0,1523.999951232002,0.4,1.0,960.0816655320001,296.5274476019233,212.01756983068202
0,1523.999951232002,0.45,0.0,21.258389746,108.0718183294929,0.0
0,1523.999951232002,0.45,0.5,480.03407102200003,202.7860265342466,0.0
0,1523.999951232002,0.45,0.6,576.0344541842001,220.54571323959,-19.741985915652002
0,1523.999951232002,0.45,0.7,672.0438032220001,238.8810765613717,14.299543373808
0,1523.999951232002,0.45,0.8,768.0609651924001,257.6026422470289,51.605891328222
0,1523.999951232002,0.45,0.9,864.0766738802001,276.5461348405153,92.58239265382801
0,1523.999951232002,0.45,1.0,960.0850710220001,295.6276893486347,136.838753855496
0,1523.999951232002,0.5,0.0,27.067854525800005,108.6536774511476,0.0
0,1523.999951232002,0.5,0.5,480.05936437580004,201.8388817059784,0.0
0,1523.999951232002,0.5,0.6,576.0683121402,219.7061482126463,-82.309328648778
0,1523.999951232002,0.5,0.7,672.0823189036001,238.0167403436452,-51.592044019362
0,1523.999951232002,0.5,0.8,768.1044889958001,256.6784126883788,-17.444825022702002
0,1523.999951232002,0.5,0.9,864.1049222146,275.7065698135717,20.41607095374
0,1523.999951232002,0.5,1.0,960.106107103,294.7264461712783,61.499079124560005
0,1523.999951232002,0.55,0.0,33.591728742,109.363597004536,0.0
0,1523.999951232002,0.55,0.5,480.04989793420003,200.5856595943029,0.0
0,1523.999951232002,0.55,0.6,576.0642550938,218.7293778860565,-145.339572727272
0,1523.999951232002,0.55,0.7,672.0757073294001,236.9852594073301,-118.00066448154601
0,1523.999951232002,0.55,0.8,768.0749383692,255.6927332852218,-86.870460930792
0,1523.999951232002,0.55,0.9,864.1017169510002,274.775515873265,-51.96020139248401
0,1523.999951232002,0.55,1.0,960.0946876334001,293.7613550017237,-14.078245763274
0,2285.999926848002,0.0,0.0,2.623716689,97.37877391717319,0.0
0,2285.999926848002,0.0,0.5,480.0580620836,196.301028624331,461.089882503096
0,2285.999926848002,0.0,0.6,576.0631530280001,214.0268638328949,525.1508703441001
0,2285.999926848002,0.0,0.7,672.0865761764001,232.4070298494965,591.7624590814861
0,2285.999926848002,0.0,0.8,768.0951735446,251.9083809062869,660.189151107024
0,2285.999926848002,0.0,0.9,864.1219513058,272.8883364486074,729.2501379531061
0,2285.999926848002,0.0,1.0,960.1205316098001,295.27112698612,797.4221960729641
0,2285.999926848002,0.05,0.0,2.8669975092,97.42511112709789,0.0
0,2285.999926848002,0.05,0.5,480.05105005660005,196.2665773567087,406.9144248477
0,2285.999926848002,0.05,0.6,576.0515333320001,213.9889290288488,467.345612234886
0,2285.999926848002,0.05,0.7,672.080365055,232.3577443120748,530.603612739354
0,2285.999926848002,0.05,0.8,768.0895639230001,251.8372229145423,595.967118574674
0,2285.999926848002,0.05,0.9,864.0934026318,272.7738896921891,662.4146729720521
0,2285.999926848002,0.05,1.0,960.1074093952,295.0996561513199,728.3239536050941
0,2285.999926848002,0.1,0.0,3.6213849364,97.54758227469837,0.0
0,2285.999926848002,0.1,0.5,480.05936437580004,196.1538578654632,352.7519582188141
0,2285.999926848002,0.1,0.6,576.0520847752,213.8926283813844,409.558203942888
